time,topic,payload
96,stroke/front,"{""sec"":16,""usec"":279552,""left"":0.0032226560000000000,""right"":0.0032226560000000000}"
128,acc,"{""sec"":16,""usec"":281155,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
136,water,"{""sec"":16,""usec"":308681,""inlet_temp"":0,""outlet_temp"":0}"
144,stroke/rear,"{""sec"":16,""usec"":309002,""right"":0,""left"":0}"
158,ecu,"{""sec"":16,""usec"":309388,""ect"":2.8454589840000000,""tps"":0.0024414060000000000,""iap"":2.84179687500000,""gp"":0.88745117200000000}"
166,rpm,"{""sec"":16,""usec"":310644,""rpm"":0}"
174,rpm,"{""sec"":16,""usec"":358605,""rpm"":0}"
196,stroke/front,"{""sec"":16,""usec"":379737,""left"":0.0040283200000000000,""right"":0.0032226560000000000}"
228,acc,"{""sec"":16,""usec"":381353,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
236,water,"{""sec"":16,""usec"":408728,""inlet_temp"":0,""outlet_temp"":0}"
247,stroke/rear,"{""sec"":16,""usec"":409047,""right"":3.2991943360000000,""left"":3.2991943360000000}"
261,ecu,"{""sec"":16,""usec"":409964,""ect"":2.8430175780000000,""tps"":0,""iap"":2.8393554690000000,""gp"":0.88745117200000000}"
267,rpm,"{""sec"":16,""usec"":410996,""rpm"":0}"
274,rpm,"{""sec"":16,""usec"":458650,""rpm"":0}"
297,stroke/front,"{""sec"":16,""usec"":479917,""left"":0.0048339840000000000,""right"":0.0040283200000000000}"
328,acc,"{""sec"":16,""usec"":481529,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
337,water,"{""sec"":16,""usec"":508772,""inlet_temp"":0,""outlet_temp"":0}"
349,stroke/rear,"{""sec"":16,""usec"":509092,""right"":3.2991943360000000,""left"":3.2991943360000000}"
360,ecu,"{""sec"":16,""usec"":510028,""ect"":2.8454589840000000,""tps"":0,""iap"":2.84179687500000,""gp"":0.88623046900000000}"
366,rpm,"{""sec"":16,""usec"":511001,""rpm"":0}"
374,rpm,"{""sec"":16,""usec"":558693,""rpm"":0}"
397,stroke/front,"{""sec"":16,""usec"":580104,""left"":0.0040283200000000000,""right"":0.0016113280000000000}"
429,acc,"{""sec"":16,""usec"":581711,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
439,water,"{""sec"":16,""usec"":608817,""inlet_temp"":0,""outlet_temp"":0}"
446,stroke/rear,"{""sec"":16,""usec"":609137,""right"":0,""left"":0}"
457,ecu,"{""sec"":16,""usec"":609515,""ect"":2.8430175780000000,""tps"":0,""iap"":2.8405761720000000,""gp"":0.88745117200000000}"
463,rpm,"{""sec"":16,""usec"":610600,""rpm"":0}"
475,rpm,"{""sec"":16,""usec"":658741,""rpm"":0}"
498,stroke/front,"{""sec"":16,""usec"":680288,""left"":0.0040283200000000000,""right"":0.0096679690000000000}"
529,acc,"{""sec"":16,""usec"":681928,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
538,water,"{""sec"":16,""usec"":708862,""inlet_temp"":0,""outlet_temp"":0}"
547,stroke/rear,"{""sec"":16,""usec"":709182,""right"":3.2991943360000000,""left"":3.2991943360000000}"
560,ecu,"{""sec"":16,""usec"":710095,""ect"":2.8479003910000000,""tps"":0,""iap"":2.84179687500000,""gp"":0.878906250000000}"
566,rpm,"{""sec"":16,""usec"":710988,""rpm"":0}"
574,rpm,"{""sec"":16,""usec"":758782,""rpm"":0}"
597,stroke/front,"{""sec"":16,""usec"":780470,""left"":0.0056396480000000000,""right"":0.0056396480000000000}"
629,acc,"{""sec"":16,""usec"":782071,""ax"":7052,""ay"":8196,""az"":-26712,""gx"":7052,""gy"":8196,""gz"":-26712,""mx"":7052,""my"":8196,""mz"":-26712,""h"":7052,""r"":8196,""p"":-26712,""qw"":7052,""qx"":8196,""qy"":-26712,""qz"":8192,""lx"":7052,""ly"":8196,""lz"":-26712,""x"":7052,""y"":8196,""z"":-26712,""ss"":0,""sg"":0,""sa"":0,""sm"":0}"
638,water,"{""sec"":16,""usec"":808904,""inlet_temp"":0,""outlet_temp"":0}"
646,stroke/rear,"{""sec"":16,""usec"":809229,""right"":0,""left"":0}"
659,ecu,"{""sec"":16,""usec"":809608,""ect"":2.8454589840000000,""tps"":0.014648438000000000,""iap"":2.8381347660000000,""gp"":0.88623046900000000}"
665,rpm,"{""sec"":16,""usec"":810912,""rpm"":0}"
674,rpm,"{""sec"":16,""usec"":858827,""rpm"":0}"
698,stroke/front,"{""sec"":16,""usec"":880655,""left"":0.0016113280000000000,""right"":0.0048339840000000000}"
